Num,First,Last,Pos
5,Gorgui,Dieng,C
22,Andrew,Wiggins,SF
33,Robert,Covington,SF
32,Karl-Anthony,Towns,C
1,Tyus,Jones,PG
36,Dario,Saric,PF
8,Jerryd,Bayless,PG
0,Jeff,Teague,PG
67,Taj,Gibson,PF
20,Josh,Okogie,SG
25,Derrick,Rose,PG
3,Jared,Terrell,SG
31,Keita,Bates-Diop,SF
43,Anthony,Tolliver,PF
12,C.J.,Williams,SG
9,Luol,Deng,SF
13,Cameron,Reynolds,SG
55,Mitch,Creek,SF
