Num,First,Last,Pos
7,Trey,Lyles,PF
25,Malik,Beasley,SG
27,Jamal,Murray,PG
41,Juan,Hernangomez,PF
20,Tyler,Lydon,PF
4,Paul,Millsap,PF
24,Mason,Plumlee,C
14,Gary,Harris,SG
,Michael,Porter,F
3,Torrey,Craig,SF
15,Nikola,Jokic,C
5,Will,Barton,SG
8,Jarred,Vanderbilt,PF
0,Isaiah,Thomas,SG
45,Thomas,Welsh,C
11,Monte,Morris,PG
6,Brandon,Goodwin,PG
