Num,First,Last,Pos
20,Justise,Winslow,SF
7,Goran,Dragic,PG
31,Ryan,Anderson,PF
21,Hassan,Whiteside,C
13,Bam,Adebayo,C
16,James,Johnson,PF
11,Dion,Waiters,SG
9,Kelly,Olynyk,PF
0,Josh,Richardson,SG
5,Derrick,Jones,SF
55,Duncan,Robinson,PF
00,Yante,Maten,PF
40,Udonis,Haslem,C
3,Dwyane,Wade,SG
,Kendrick,Nunn,G
