Num,First,Last,Pos
13,Alec,Burks,SG
00,Willie,Cauley-Stein,C
41,Kosta,Koufos,C
40,Harrison,Barnes,SF
24,Buddy,Hield,SG
50,Caleb,Swanigan,PF
20,Harry,Giles,PF
5,De'Aaron,Fox,PG
8,Bogdan,Bogdanovic,SG
10,Frank,Mason,PG
35,Marvin,Bagley,PF
88,Nemanja,Bjelica,PF
3,Yogi,Ferrell,PG
,Wenyen,Gabriel,F
19,Troy,Williams,SF
33,Corey,Brewer,SF
9,B.J.,Johnson,SF
