Num,First,Last,Pos
17,Jonas,Valanciunas,C
2,Delon,Wright,PG
25,Chandler,Parsons,SF
11,Mike,Conley,PG
7,Justin,Holiday,SG
22,Tyler,Dorsey,SG
6,C.J.,Miles,SF
24,Dillon,Brooks,SF
10,Ivan,Rabb,PF
13,Jaren,Jackson,PF
0,Avery,Bradley,SG
1,Kyle,Anderson,SF
3,Jevon,Carter,PG
12,Yuta,Watanabe,SF
55,Joakim,Noah,C
4,Julian,Washburn,SF
5,Bruno,Caboclo,SF
45,Tyler,Zeller,C
