Num,First,Last,Pos
22,Wilson,Chandler,SF
21,Patrick,Beverley,PG
23,Lou,Williams,SG
40,Ivica,Zubac,C
17,Garrett,Temple,SG
,Rodney,McGruder,G
8,Danilo,Gallinari,SF
0,Sindarius,Thornwell,SG
4,JaMychal,Green,PF
15,Johnathan,Motley,PF
2,Shai,Gilgeous-Alexander,PG
20,Landry,Shamet,SG
10,Jerome,Robinson,SG
31,Angel,Delgado,C
5,Montrezl,Harrell,C
9,Tyrone,Wallace,PG
