Num,First,Last,Pos,Exp
1,D'Angelo,Russell,PG,3
24,Rondae,Hollis-Jefferson,SF,3
9,DeMarre,Carroll,PF,9
33,Allen,Crabbe,SG,5
22,Caris,Levert,SF,2
6,Jared,Dudley,PF,11
8,Spencer,Dinwiddie,PG,4
31,Jarrett,Allen,C,1
30,Dzanan,Musa,SG,0
0,Rodions,Kurucs,SG,0
13,Shabazz,Napier,PG,4
17,Ed,Davis,C,8
12,Joe,Harris,SG,4
21,Treveon,Graham,SG,2
