Num,First,Last,Pos
12,LaMarcus,Aldridge,C
,Dejounte,Murray,G
10,DeMar,DeRozan,SG
25,Jakob,Poeltl,C
4,Derrick,White,PG
8,Patty,Mills,PG
22,Rudy,Gay,PF
42,Davis,Bertans,PF
1,Lonnie,Walker,SG
33,Dante,Cunningham,PF
18,Marco,Belinelli,SG
11,Bryn,Forbes,SG
3,Quincy,Pondexter,SF
7,Chimezie,Metu,PF
14,Drew,Eubanks,PF
,Ben,Moore,F
28,Donatas,Motiejunas,PF
