Num,First,Last,Pos
14,Brandon,Ingram,SF
2,Lonzo,Ball,PG
0,Kyle,Kuzma,PF
3,Josh,Hart,SG
35,Reggie,Bullock,SG
31,Mike,Muscala,PF
15,Moritz,Wagner,C
17,Isaac,Bonga,PG
1,Kentavious,Caldwell-Pope,SG
9,Rajon,Rondo,PG
23,LeBron,James,SF
6,Lance,Stephenson,SG
7,JaVale,McGee,C
4,Alex,Caruso,PG
19,Johnathan,Williams,C
5,Tyson,Chandler,C
10,Jemerrio,Jones,SF
