Num,First,Last,Pos
9,Nikola,Vucevic,C
31,Terrence,Ross,SG
22,Jerian,Grant,PG
2,Jarell,Martin,PF
,Timofey,Mozgov,C
14,D.J.,Augustin,PG
10,Evan,Fournier,SG
1,Jonathan,Isaac,PF
,Markelle,Fultz,G
25,Wesley,Iwundu,SF
24,Khem,Birch,C
5,Mohamed,Bamba,C
35,Melvin,Frazier,SG
00,Aaron,Gordon,PF
3,Troy,Caupain,PG
11,Amile,Jefferson,PF
7,Michael,Carter-Williams,PG
