Num,First,Last,Pos
17,Dennis,Schroder,PG
0,Russell,Westbrook,PG
12,Steven,Adams,C
54,Patrick,Patterson,PF
11,Abdel,Nader,SF
,Andre,Roberson,G-F
23,Terrance,Ferguson,SG
3,Nerlens,Noel,C
13,Paul,George,SF
30,Deonte,Burton,SG
9,Jerami,Grant,PF
2,Raymond,Felton,PG
6,Hamidou,Diallo,SG
15,Donte,Grantham,SF
5,Markieff,Morris,PF
8,Jawun,Evans,PG
